Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
08.01.2022;13:00:00.000;156.168;1.0;
08.01.2022;13:30:00.000;149.775;1.0;
08.01.2022;14:00:00.000;155.825;1.0;
08.01.2022;14:30:00.000;156.314;1.0;
08.01.2022;15:00:00.000;158.917;1.0;
08.01.2022;15:30:00.000;157.156;1.0;
08.01.2022;16:00:00.000;154.500;1.0;
08.01.2022;16:30:00.000;158.088;1.0;
08.01.2022;17:00:00.000;161.139;1.0;
08.01.2022;17:30:00.000;156.748;1.0;
08.01.2022;18:00:00.000;156.169;1.0;
08.01.2022;18:30:00.000;155.871;1.0;
08.01.2022;19:00:00.000;157.434;1.0;
08.01.2022;19:30:00.000;154.801;1.0;
08.01.2022;20:00:00.000;161.845;1.0;
08.01.2022;20:30:00.000;160.963;1.0;
08.01.2022;21:00:00.000;145.156;1.0;
08.01.2022;21:30:00.000;138.321;1.0;
08.01.2022;22:00:00.000;135.323;1.0;
08.01.2022;22:30:00.000;124.070;1.0;
08.01.2022;23:00:00.000;124.520;1.0;
08.01.2022;23:30:00.000;110.870;1.0;
09.01.2022;00:00:00.000;101.547;1.0;
09.01.2022;00:30:00.000;106.502;1.0;
09.01.2022;01:00:00.000;110.000;1.0;
09.01.2022;01:30:00.000;110.471;1.0;
09.01.2022;02:00:00.000;119.354;1.0;
09.01.2022;02:30:00.000;121.635;1.0;
09.01.2022;03:00:00.000;127.525;1.0;
09.01.2022;03:30:00.000;137.984;1.0;
09.01.2022;04:00:00.000;150.631;1.0;
09.01.2022;04:30:00.000;147.750;1.0;
09.01.2022;05:00:00.000;147.586;1.0;
09.01.2022;05:30:00.000;154.836;1.0;
09.01.2022;06:00:00.000;166.444;1.0;
09.01.2022;06:30:00.000;164.386;1.0;
09.01.2022;07:00:00.000;164.694;1.0;
09.01.2022;07:30:00.000;161.983;1.0;
09.01.2022;08:00:00.000;165.428;1.0;
09.01.2022;08:30:00.000;159.217;1.0;
09.01.2022;09:00:00.000;158.811;1.0;
09.01.2022;09:30:00.000;160.097;1.0;
09.01.2022;10:00:00.000;154.629;1.0;
09.01.2022;10:30:00.000;148.197;1.0;
09.01.2022;11:00:00.000;149.528;1.0;
09.01.2022;11:30:00.000;153.725;1.0;
09.01.2022;12:00:00.000;156.908;1.0;
09.01.2022;12:30:00.000;152.359;1.0;
09.01.2022;13:00:00.000;154.785;1.0;
09.01.2022;13:30:00.000;160.577;1.0;
09.01.2022;14:00:00.000;155.854;1.0;
09.01.2022;14:30:00.000;155.575;1.0;
09.01.2022;15:00:00.000;160.657;1.0;
09.01.2022;15:30:00.000;159.000;1.0;
09.01.2022;16:00:00.000;162.378;1.0;
09.01.2022;16:30:00.000;162.767;1.0;
09.01.2022;17:00:00.000;162.536;1.0;
09.01.2022;17:30:00.000;161.961;1.0;
09.01.2022;18:00:00.000;165.287;1.0;
09.01.2022;18:30:00.000;164.739;1.0;
09.01.2022;19:00:00.000;156.334;1.0;
09.01.2022;19:30:00.000;158.693;1.0;
09.01.2022;20:00:00.000;162.214;1.0;
09.01.2022;20:30:00.000;160.401;1.0;
09.01.2022;21:00:00.000;153.244;1.0;
09.01.2022;21:30:00.000;143.419;1.0;
09.01.2022;22:00:00.000;137.810;1.0;
09.01.2022;22:30:00.000;125.056;1.0;
09.01.2022;23:00:00.000;127.294;1.0;
09.01.2022;23:30:00.000;117.705;1.0;
10.01.2022;00:00:00.000;117.293;1.0;
10.01.2022;00:30:00.000;115.019;1.0;
10.01.2022;01:00:00.000;118.115;1.0;
10.01.2022;01:30:00.000;117.948;1.0;
10.01.2022;02:00:00.000;116.811;1.0;
10.01.2022;02:30:00.000;127.629;1.0;
10.01.2022;03:00:00.000;138.792;1.0;
10.01.2022;03:30:00.000;142.483;1.0;
10.01.2022;04:00:00.000;152.633;1.0;
10.01.2022;04:30:00.000;146.441;1.0;
10.01.2022;05:00:00.000;152.774;1.0;
10.01.2022;05:30:00.000;166.192;1.0;
10.01.2022;06:00:00.000;173.991;1.0;
10.01.2022;06:30:00.000;169.865;1.0;
10.01.2022;07:00:00.000;166.312;1.0;
10.01.2022;07:30:00.000;172.600;1.0;
10.01.2022;08:00:00.000;172.358;1.0;
10.01.2022;08:30:00.000;174.317;1.0;
10.01.2022;09:00:00.000;167.127;1.0;
10.01.2022;09:30:00.000;174.974;1.0;
10.01.2022;10:00:00.000;171.765;1.0;
10.01.2022;10:30:00.000;172.336;1.0;
10.01.2022;11:00:00.000;177.507;1.0;
10.01.2022;11:30:00.000;167.431;1.0;
10.01.2022;12:00:00.000;172.019;1.0;
10.01.2022;12:30:00.000;170.256;1.0;
10.01.2022;13:00:00.000;163.268;1.0;
10.01.2022;13:30:00.000;175.865;1.0;
10.01.2022;14:00:00.000;157.992;1.0;
10.01.2022;14:30:00.000;158.616;1.0;
10.01.2022;15:00:00.000;156.907;1.0;
